"gene_accession_id","gene_symbol","mouse_strain","mouse_life_stage","parameter_id","pvalue","parameter_name","analysis_id"
"S100a3","IMPC_OFD_007_001","MGI:1338849","Early adult","Whole arena resting time",NA,"0.5529665","j516880j91f291b"
"j5qv5h6fbrg4i3u","0.8983048","Body weight","MGI:88439","C57BL",NA,"Cntf","Early adult"
"E12.5","IMPC_ABR_008_001","Mprip","C57BL","jtep58040yo5j04",NA,"18kHz-evoked ABR Threshold","0.0942546"
"MGI:2389177","Lrrtm3","C57BL","Early adult","HRWLLA_OFD_010_001",-0.4552294,"Periphery distance travelled","jyv1zv988ucossc"
"MGI:1341868","k0ml60qkpe1z11q","E9.5","Alpha-amylase","Rfc2",NA,"C57BL","0.6083684"
"0.8061915","Ppp1r36","Whole arena resting time","Early adult","k46dl644f7e2fod",NA,"IMPC_OFD_007_001","MGI:2684916"
"IMPC_ABR_002_001","k896gwsf46o21gy","Click-evoked ABR threshold","C57BL","Sipa1",0.7095151,"Early adult","MGI:107576"
"MGI:1277143","Gtf2h3","C57BL","E9.5","IMPC_EYE_016_001",1.435815,"Lens","kd3m48nz00gm9zr"
"MGP_PBI_038_001","C57BL","Prepl","kfo15zjzva3sij9","MGI:2441932",0.9901443,"Ly6Clow monocyte number","Early adult"
"HRWLLA_OFD_010_001","Periphery distance travelled","Prkd2","0.3701781","mgi:2141917",NA,"Early adult","kg1843rh36ta0m0"
"MGI:1333877","Gpr50","C57BL","Early adult","IMPC_EYE_016_001",1.221175,"Lens","kg5387i7h1e8hqd"
"MGI:108420","Nfe2l2","C57BL","Early adult","IMPC_DXA_010_001",1.080803,"Bone Area","kgils26567sas0v"
"Retinal Blood Vessels Pattern","khrkira702hl08f","Ascl4","MGI:1914591","IMPC_EYE_026_001",NA,"C57BL","0.2708915"
"MGI:2685335","Mctp2","C57BL","Early adult","IMPC_HEM_037_001",1.23703,"Basophil cell count","ki933vc4lme8qf8"
"C57BL","MGI:3040687","Early adult","Spag6","l1fxh8130nvg3hd",NA,"0.8075531","IMPC_CBC_002_001"
"MGI:1277143","Gtf2h3","C57BL","E12.5","IMPC_EYE_027_001",1.168771,"Persistence of hyaloid vascular system","l22t02v7z957j42"
"MGI:1925836","Srbd1","C57BL","E9.5","IMPC_GEO_043_002",1.037442,"spina bifida","l66t7y1a31oy8d3"
"MGI:1277143","Gtf2h3","C57BL","E12.5","IMPC_XRY_021_001",1.494499,"Humerus","l68l976a4108774"
"MGI:1914815","Gramd2b","C57BL","Middle aged adult","IMPC_XRY_012_001",1.011042,"Pelvis","l6bll6x4n18rx84"
"0.375339","Early adult","Creatinine","MGI:96878","Blnk",NA,"l846703965686m8","IMPC_CBC_005_001"
"Cibar1","Early adult","Left retina","ESLIM_013_001_003","MGI:1915349",0.1244105,"C57BL","lc4d3w23gv002d3"
"MGI:2685830","Nsl1","C57BL","E9.5","IMPC_GRS_011_001",1.470747,"Forelimb and hindlimb grip strength normalised against body weight","lmlokf557r92121"
"MGI:1099431","Sptlc1","C57BL","Early adult","MGP_PBI_016_001",-0.21589,"Monocyte percentage","lnsc2o6143ihn34"
"IMPC_HEM_033_001","MGI:2146468","m0j6czv09017143","Urb1","Early adult",0.9355511,"Monocyte differential count","C57BL"
"MGI:1913687","FIS1","C57BL","Early adult","IMPC_CBC_020_001",1.061136,"Fructosamine","m12hf9k51213g2g"
"Early adult","m2wb98y02ov7t56","0.9379794","IMPC_GEO_009_002","MGI:2146468",NA,"Urb1","C57BL"
"MGI:1915383","Early adult","m6im00q7n78zl46","12.5 Mch Tidal volume","Gcsh",0.2730629,"C57BL","TCP_CHL_058_001"
"MGI:107576","Sipa1","C57BL","Early adult","GMC_905_001_006",1.490761,"Mean corpuscular volume","m8c5h4w3cr8qncv"
"Early adult","Urea (Blood Urea Nitrogen - BUN)","MGI:1918731","m973207q6895ow0","IMPC_CBC_004_001",NA,"0.306388","Alpk1"
"MGI:1276533","Ncoa2","C57BL","E18.5","IMPC_CSD_078_001",1.267907,"Vocalization","mm4x8o4313ynyo3"
"IMPC_ABR_006_001","early adult","Lzts1","0.7363833","12kHz-evoked ABR Threshold",NA,"msyw934aar14v3j","C57BL"
"E12.5","Mprip","IMPC_OFD_020_001","0.5562728","C57BL",NA,"Distance travelled - total","mu292ypzt4b13cj"
"Triglyceride","Srbd1","E9.5","0.3452584","C57BL",NA,"ESLIM_015_001_018","n0v33ywj69ht6a4"
"MGI:2444308","Atg4d","C57BL","Early adult","TCP_CHL_067_001",1.239482,"PBS Peak Inspiratory Flow","n68t8l8qovhadhc"
"MGI:1336186","Agpat3","C57BL","Early adult","IMPC_HEM_032_001",1.449436,"Lymphocyte cell count","n72ig9qf060v5p0"
"HRWLLA_CSD_032_001","Early adult","MGI:1336186","Locomotor activity","0.1074083",NA,"C57BL","n9tyz5rkea437k9"
"MGI:2684762","Lzts1","C57BL","Early adult","IMPC_GEL_063_001",1.141037,"Delayed embryonic development","np2t142pfb44ez7"
"MGI:1277143","Gtf2h3","0.3672605","E12.5","C57BL",NA,"np312c1fm5d3g94","Mean corpuscular hemoglobin"
"0.998776","MGI:1922808","Early adult","C57BL","Spata45",NA,"White blood cell count","o078r2ffs0586m1"
"CD11b-low cDC - % of cDC","E9.5","0.6109356","MGP_IMM_067_001","MGI:2146468",NA,"Urb1","C57BL"
"Body position","MGI:2682314","oa401x52y423525","0.8343242","Zc3h4",NA,"E15.5","ESLIM_008_001_001"
"ESLIM_011_001_001","Smarcd3","C57BL","BN startle magnitude","ojns259nh1ig987",NA,"0.1703057","MGI:1914243"
"MGI:2444308","Atg4d","C57BL","Early adult","IMPC_HEM_031_001",1.194958,"Lymphocyte differential count","ojp6xw2jtac877z"
"Cyp19a1","Early adult","okmw327e54645c6","Periphery average speed","MGI:88587",NA,"0.535917","JAX_OFD_013_001"
"MGI:1333883","Lats1","C57BL","Early adult","IMPC_HEM_007_001",1.085501,"Mean cell hemoglobin concentration","olb9e67gu80h5ni"
"mgi:2682314","Zc3h4","C57BL","E15.5","ESLIM_013_001_001",-0.4957843,"Eye","oo50860j1y8j614"
"MGI:2685830","Nsl1","C57BL","Early adult","IMPC_OFD_007_001",-0.4421973,"Whole arena resting time","p31s93l02alf47x"
"MGI:1922808","Spata45","C57BL","Early adult","CCP_XRY_065_001",1.053189,"Lumbar processes","p3drf753t4no396"
"Early adult","0.65826","C57BL","Elf3","IMPC_CBC_014_001",NA,"MGI:1101781","p572d48ynx64305"
"Vocalization","0.5790055","p708cvpk4q6w0s3","C57BL","Late adult",NA,"MGI:1925836","Srbd1"
"MGI:1914243","Smarcd3","C57BL","E18.5","IMPC_ECG_004_001",1.163991,"RR","p877pt8icq289ui"
"MGI:1914815","Gramd2b","C57BL","Early adult","HRWLLA_HEM_008_001",1.24251,"Platelet count","p976s5p7v0808w8"
"IMPC_ECH_011_001","mgi:99502","pa99kb271iwg2o8","C57BL","0.2192196",NA,"LVIDs","Ltbp2"
"MGI:1349438","Mprip","C57BL","E15.5","IMPC_HEM_006_001",-0.473289,"Mean corpuscular hemoglobin","pb98b1p21880882"
"MGI:3624119","pbds10b7lppa391","Snout size","C57BL","Early adult",NA,"0.1889713","IMPC_CSD_028_001"
"MGI:1925836","Srbd1","C57BL","Middle aged adult","IMPC_OFD_007_001",1.386902,"Whole arena resting time","pe3lajyc1i55iau"
"MGI:109552","Il4i1","C57BL","Early adult","TCP_CHL_078_001",1.132049,"12.5 Mch Expiratory time","penpi2p3dj5q58m"
"MGI:96441","Igfbp6","C57BL","Early adult","JAXLA_GRS_009_001",1.487161,"Forelimb and hindlimb grip strength measurement mean","pl93v5w4760hfq3"
"MGI:1349438","Mprip","C57BL","E12.5","IMPC_HEM_002_001",1.372637,"Red blood cell count","pm3uqr225fu8kx3"
"Early adult","Left inner nuclear layer","0.5406824","MGI:1918731","pxc52eoz713yw2s",NA,"C57BL","Alpk1"
"MGI:1914243","Smarcd3","C57BL","E15.5","JAX_OFD_020_001",1.459944,"Distance travelled - total","pz4bm50060e8mjf"
"MGI:1333877","Gpr50","C57BL","Early adult","GMC_905_001_008",1.354903,"Mean corpuscular hemoglobin concentration","q1y9ngpx947i43x"
"MGI:1923012","Aftph","C57BL","Early adult","IMPC_CBC_023_001",1.132165,"Alpha-amylase","q368u37nn0e595d"
"MGI:2444308","Atg4d","C57BL","Early adult","IMPC_ECG_004_001",1.173523,"RR","q3z5h9p40qm3l9o"
"MGI:2442910","Niban2","C57BL","Early adult","ESLIM_015_001_016",1.34733,"Alpha-amylase","q65cau9gnznt151"
"MGI:1196234","CCDC69","C57BL","Early adult","IMPC_HEM_006_001",-0.4913456,"Mean corpuscular hemoglobin","q78co1x55w860qm"
"MGI:1914243","Smarcd3","C57BL","Early adult","GMC_905_001_007",1.215556,"Mean corpuscular hemoglobin","q8c7489869wnjq5"
"MGI:1918946","Abhd8","C57BL","Early adult","IMPC_CSD_080_001",1.314689,"Head bobbing","qd4704fsux0vwd4"
"MGI:2441932","Prepl","C57BL","Early adult","IMPC_CBC_018_001",1.294245,"Glucose","qe127xl3hz981f0"
"Urb1","Coat - hair distribution - abdomen","MGI:2146468","JAXLA_CSD_013_001","qu3der4z1k6bab4",NA,"C57BL","0.1551067"
"GMC_908_001_001","0.5311504","Mprip","MGI:1349438","Early adult",NA,"C57BL","qxdll46818f2l79"
"IMPC_CSD_007_001","Coat - color - abdomen","C57BL","0.9844572","Spata45",NA,"Early adult","MGI:1922808"
"S100a3","RR","IMPC_ECG_004_001","r61x21j1996xr08","MGI:1338849",NA,"Early adult","0.4359476"
"MGI:2444354","Arid4a","129SV","Early adult","MGP_PBI_038_001",-0.2502008,"Ly6Clow monocyte number","r6981p33630g206"
"0.463616","M-G-P_005_001_006","Tprkb","Body Length","Early adult",NA,"r7w3z5u0og6kct9","MGI:1917036"
"MGI:1333877","Gpr50","C57BL","Early adult","IMPC_CBC_006_001",-0.4161278,"Total protein","r9086z42n2md86x"
"Mean cell volume","MGI:1932115","0.9495337","IMPC_HEM_005_001","r9422y0i085z6r6",NA,"C57BL","Papolb"
"MGI:2146468","Urb1","C57BL","Early adult","IMPC_DXA_007_001",1.375055,"BMC/Body weight","riy81655jsz2x4y"
"MGI:2685047","Hmcn1","C57BL","Early adult","HRWLLA_HEM_030_001",-0.4753909,"Neutrophil cell count","rt3ro396savbj3u"
"MGI:1920723","Iws1","C54BL","Early adult","TCP_CHL_078_001",-0.2139887,"12.5 Mch Expiratory time","s03376wb244qt5k"
"C57BL","MGI:1918731","Early adult","s0m79i2hjz2k62s","HRWLLA_HEM_007_001",NA,"Alpk1","0.6865306"
"Periphery distance travelled","MGI:2138828","s0nbo3xp5n054au","Early adult","C57BL",0.2665261,"Eps8l2","HRWLLA_OFD_010_001"
"IMPC_ECG_004_001","RR","s1nup71o7yu249r","MGI:2682314","Early adult",NA,"0.9401351","C57BL"
"MGI:1276533","Ncoa2","C57BL","Early adult","GMC_908_001_001",1.327482,"Bodyweight","s3zh4x5l8aqdyo2"
"mgi:88587","Cyp19a1","C57BL","Late adult","IMPC_EYE_026_001",1.255547,"Retinal Blood Vessels Pattern","s460tv7vz5okya9"
"Sptlc1","M-G-P_005_001_006","C57BL","0.2053595","E9.5",NA,"MGI:1099431","Body Length"
"so91h3p3r01y117","E9.5","Whole arena resting time","0.2242294","JAX_OFD_007_001",NA,"C57BL","Mprip"
"MGI:1929691","Slc15a3","C57BL","Early adult","IMPC_XRY_055_001",1.225737,"Shape of spine","sr9sc078n99hh03"
"MGI:1929260","Mtch2","C57BL","Early adult","IMPC_DXA_004_001",1.335383,"Bone Mineral Density (excluding skull)","t4s99u0342l75au"
"MGI:2146468","Urb1","C57BL","E9.5","IMPC_GRS_009_001",1.482256,"Forelimb and hindlimb grip strength measurement mean","t969838t4rcf220"
"sTV-active","C57BL","Early adult","GMC_920_001_013","Phc3",NA,"0.4960241","MGI:2181434"
"0.7153364","JAXLA_CSD_077_001","Contact righting","E12.5","Smarcd3",NA,"tk5070z9583p4kq","MGI:1914243"
"tvch5o98677d582","C57BL","Coat - color - abdomen","Middle aged adult","MGI:1925836",0.6984242,"Srbd1","JAXLA_CSD_007_001"
"MGI:1917565","Hdac8","C57BL","Early adult","IMPC_DXA_002_001",1.050116,"Fat mass","tw65z1014i72r83"
"MGI:2146468","Urb1","C57BL","Early adult","IMPC_IPG_010_001",1.488168,"Fasted blood glucose concentration","u160v0kymg92662"
"MGI:2442782","Baz2b","C57BL","Early adult","IMPC_EYE_092_001",1.216257,"Retina (combined)","u4c1daop047anmc"
"MGI:2444354","0.08892037","u8c8622r258pmzj","Whole arena resting time","Early adult",NA,"129SV","Arid4a"
"MGI:1925836","Srbd1","C57BL","E9.5","CCP_XRY_020_001",1.453673,"Processes on vertebrae","uh3622u02m8735k"
"C57BL","Neutrophil differential count","MGI:1099431","up4sgh0976lsnq0","Early adult",NA,"IMPC_HEM_029_001","0.7977654"
"Early adult","IMPC_EYE_083_001","uw03tt1z6u46pp0","Vitreous","C57BL",0.472691,"Niban2","MGI:2442910"
"0.08281021","MGI:2143539","uwo915ls83zu1p8","Late adult","C57BL",NA,"GMC_906_001_005","Potassium"
"MGI:1890127","Plxnc1","C57BL","Early adult","ESLIM_011_001_001",-0.3025019,"BN startle magnitude","v1i1ft111vwd706"
"12.5 Mch Tidal volume","MGI:2441932","Early adult","TCP_CHL_058_001","Prepl",NA,"C57BL","0.8415277"
"0.8802248","Sptlc1","C57BL","IMPC_FEA_106_001","E9.5",NA,"MGI:1099431","v3t173vue819avt"
"MGI:894284","Rab12","C57BL","Early adult","HRWLLA_CSD_029_001",1.48913,"Activity (body position)","v421og17293p6p5"
"E15.5","GMC_906_001_021","C57BL","v6u12522dt16a6n","0.8512138",NA,"MGI:2682314","Uric acid"
"MGI:1914815","Gramd2b","C57BL","Middle aged adult","IMPC_DXA_010_001",1.087414,"Bone Area","v73x0331s9611ff"
"TCP_CHL_058_001","E9.5","Srbd1","C57BL","v961k143b155x22",0.2374851,"MGI:1925836","12.5 Mch Tidal volume"
"MGI:2442708","Pheta1","C57BL","Early adult","IMPC_XRY_057_001",1.292099,"Kyphosis","va719rl2c0ag27j"
"MGI:1918252","Mex3b","C57BL","Early adult","HRWLLA_OFD_011_001",1.262377,"Periphery resting time","vbj79c7j5wsc421"
"MGI:99878","Ppm1a","C57BL","Early adult","HRWLLA_HEM_032_001",1.194754,"Lymphocyte cell count","vgpcn6jo9k7ij9o"
"MGI:2682314","Zc3h4","C57BL","Early adult","GMC_920_001_013",1.403407,"sTV-active","vkp14shh99p7c94"
"MGI:1349438","Mprip","C57BL","E12.5","GMC_923_001_001",-0.1610522,"Body weight","vp382t0962sw2pm"
"Mid2","TCP_CHL_067_001","0.06783443","MGI:1344333","PBS Peak Inspiratory Flow",NA,"Early adult","vpf26xy01pio69j"
"MGI:97525","Pde6b","C57BL","Early adult","HRWLLA_HEM_032_001",1.030918,"Lymphocyte cell count","vpt31969xl6bswm"
"MGI:1099431","Sptlc1","C57BL","Middle aged adult","JAXLA_CSD_005_001",1.055932,"Coat - color - back","w48qbhp2cn623h2"
"C57BL","Early adult","Ppp3cc","Lymphocyte cell count","HRWLLA_HEM_032_001",NA,"0.3681276","w5vw9g57u41uuyk"
"MGI:2682314","Zc3h4","C57BL","E15.5","JAX_LDT_005_001",1.124717,"Time mobile dark side","w701420189y8t91"
"Limb grasp","Early adult","JAXLA_CSD_039_001","MGI:98446","C57BL",0.1422816,"Med22","w9i7y36so7r0uih"
"Lens","MGI:1925927","we32d6i40om1414","IMPC_EYE_016_001","E9.5",NA,"C57BL","0.4179939"
"wfmlsgyp4oz0576","Early adult","IMPC_OFD_012_001","Periphery permanence time","C57BL",NA,"0.2421671","Rab12"
"wfu3h1b604ynuiv","Gpr50","0.4691238","Fat/Body weight","MGI:1333877",NA,"IMPC_DXA_009_001","C57BL"
"MGI:1276533","Ncoa2","C57BL","Early adult","IMPC_EYE_016_001",1.468101,"Lens","wi44ik693yb707j"
"MGI:1918946","Abhd8","C57BL","Early adult","IMPC_EYE_017_001",1.217162,"Lens Opacity","wi4z2lclqhb96w2"
"MGI:3648212","Early adult","C57BL","IMPC_GEP_038_001","wp20yw1l4b2e00y",NA,"0.624522","Tail Morphology"
"C57BL","Middle aged adult","Sptlc1","wqdnc67p37j9u5u","0.2421559",NA,"Large Unstained Cell (LUC) differential count","MGI:1099431"
"C57BL","Retina (combined)","IMPC_EYE_092_001","MGI:2442910","0.6648592",NA,"x2xer869x50o411","Niban2"
"MGI:2655333","Grhl3","C59BL","Early adult","IMPC_CSD_023_001",1.041787,"Vibrissae - presence","x41132g8820jfxc"
"MGI:1336186","TCP_CHL_056_001","Agpat3","0.2437967","x7hp845g9os7054",NA,"129SV","baseline Tidal volume"
"Whole arena resting time","C57BL","Early adult","x894313738reeu9","HRWLLA_OFD_007_001",NA,"0.5008509","MGI:2684762"
"MGI:1915349","Cibar1","C57BL","Early adult","IMPC_DXA_006_001",1.314225,"Body length","xa257yxxr59t8s1"
"MGI:88587","Cyp19a1","C57BL","Early adult","IMPC_CBC_016_001",1.048562,"HDL-cholesterol","xbe16x4a5vl78hz"
"xfec13mu562713h","0.4668958","C57BL","MGI:2146785","IMPC_GRS_008_001",NA,"Forelimb grip strength measurement mean","Gpsm3"
"Alanine aminotransferase","0.6289423","E15.5","C57BL","MGI:1349438",NA,"IMPC_CBC_013_001","xfmj0n2zozc9kz8"
"0.8355104","C57BL","BN startle magnitude","ESLIM_011_001_001","Cyp19a1",NA,"MGI:88587","xrmqznwd4mmymkc"
"M-G-P_005_001_006","C57BL","Papolb","xw5mn8rde7582di","0.3640476",NA,"MGI:1932115","Early adult"
"y4g7k54m104nj58","0.1727447","Late adult","IMPC_CBC_012_001","Aspartate aminotransferase",NA,"C57BL","MGI:3648212"
"MGI:2444233","Ythdf2","C57BL","Early adult","IMPC_EYE_017_001",1.187304,"Lens Opacity","y7n4im011z9x2c6"
"IMPC_DXA_002_001","Early adult","C57BL","MGI:2138828","y928sa52l036f88",NA,"0.9492777","Eps8l2"
"PBS Peak Inspiratory Flow","Lats1","MGI:1333883","TCP_CHL_067_001","C57BL",NA,"Early adult","0.5295504"
"MGI:1196295","Ptpn20","C57BL","Early adult","IMPC_CSD_027_001",1.177151,"Ears","yz74z8a1g795mu7"
"MGI:2685830","Nsl1","C57BL","E9.5","MGP_CSD_026_001",-0.2101177,"Ventral coat/hair colour","z3fs0o49h80x2uy"
"MGI:1917036","E9.5","C57BL","z6cg637od7t7z0i","0.1849707",NA,"ESLIM_008_001_001","Body position"
"0.9483412","HRWLLA_OFD_018_001","Early adult","C57BL","Mageh1",NA,"Latency to center entry","MGI:1922875"
"Fasted blood glucose concentration","z95r01a07zw0049","MGI:1890127","IMPC_IPG_010_001","0.3730357",NA,"C57BL","PLXNC1"
"MGI:2141917","Prkd2","C57BL","Early adult","IMPC_EMA_024_001",1.154984,"Embryo size","z9lpk7h87o99804"
"MGI:1922248","Rab11fip2","C57BL","Early adult","IMPC_ABR_008_001",1.07453,"18kHz-evoked ABR Threshold","z9q38ik43l641xe"
"MGI:1333883","Lats1","C57BL","Early adult","IMPC_CBC_002_001",1.384877,"Potassium","zf05jzq4n8fz2k6"
"0.5900808","Startle response","Early adult","HRWLLA_CSD_036_001","zg2b051h70808ie",NA,"Golga3","C57BL"
"tcpla_csd_011_001","Early adult","Coat - hair distribution - back","0.3436605","zhkfud73dvc2300",NA,"C57BL","MGI:109552"
"C57BL","12.5 Mch Tidal volume","Early adult","0.4187608","TCP_CHL_058_001",NA,"MGI:2450016","Nox1"
"MGI:1922248","Rab11fip2","C57BL","Early adult","TCP_CHL_067_001",1.085384,"PBS Peak Inspiratory Flow","zu6l5m407887hal"
